Year,Team,Name,G,Min,Pts,PPG,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,REB,RPG,AST,APG,STL,BLK,TO,MPPS,OEPM,DEPM
1996,CHA,Malik Rose,54,525,160,3.0,61,128,.477,38,62,.613,0,2,.000,164,3.0,32,0.6,28,17,41,0.1334,0.0582,0.0577
1996,CHA,Donald Royal,25,320,70,2.8,21,40,.525,28,35,.800,0,0,.000,58,2.3,10,0.4,12,2,22,0.0813,0.025,0.0199
1996,CHA,George Zidek,36,288,91,2.5,33,85,.388,25,32,.781,0,2,.000,63,1.8,9,0.3,4,3,23,0.0732,0.0288,0.0185
1996,CHA,Jamie Feick,3,10,5,1.7,2,4,.500,0,2,.000,1,1,1.000,3,1.0,0,0.0,0,1,0,0.0025,0.0013,0.0011
1996,CHA,Tom Chambers,12,83,19,1.6,7,31,.226,3,4,.750,2,3,.667,14,1.2,4,0.3,1,0,9,0.0211,0.0056,0.0039
1996,CHA,Eric Leckner,1,11,0,0.0,0,3,.000,0,0,.000,0,0,.000,1,1.0,1,1.0,0,0,0,0.0028,0.0006,0.0003
1996,CHI,Michael Jordan,82,3106,2431,29.6,920,1892,.486,480,576,.833,111,297,.374,482,5.9,352,4.3,140,44,166,0.7891,0.8986,0.1898
1996,CHI,Scottie Pippen,82,3095,1656,20.2,648,1366,.474,204,291,.701,156,424,.368,531,6.5,467,5.7,154,45,214,0.7863,0.6851,0.2079
1996,CHI,Toni Kukoc,57,1610,754,13.2,285,605,.471,134,174,.770,50,151,.331,261,4.6,256,4.5,60,29,91,0.409,0.3488,0.0984
1996,CHI,Luc Longley,59,1472,537,9.1,221,485,.456,95,120,.792,0,2,.000,332,5.6,141,2.4,23,66,111,0.374,0.213,0.1141
1996,CHI,Steve Kerr,82,1861,662,8.1,249,467,.533,54,67,.806,110,237,.464,130,1.6,175,2.1,67,3,43,0.4728,0.271,0.0595
1996,CHI,Jason Caffey,75,1405,549,7.3,205,385,.532,139,211,.659,0,1,.000,301,4.0,89,1.2,25,9,97,0.357,0.2011,0.0889
1996,CHI,Bison Dele,9,138,63,7.0,26,63,.413,11,15,.733,0,0,.000,33,3.7,12,1.3,3,5,11,0.0351,0.0229,0.0111
1996,CHI,Ron Harper,76,1740,480,6.3,177,406,.436,58,82,.707,68,188,.362,193,2.5,191,2.5,86,38,50,0.4421,0.2332,0.0939
1996,CHI,Dennis Rodman,55,1947,311,5.7,128,286,.448,50,88,.568,5,19,.263,883,16.1,170,3.1,32,19,111,0.4947,0.1607,0.2426
1996,CHI,Randy Brown,72,1057,341,4.7,140,333,.420,57,84,.679,4,22,.182,111,1.5,133,1.8,81,17,58,0.2685,0.1624,0.0645
1996,CHI,Bill Wennington,61,783,280,4.6,118,237,.498,44,53,.830,0,2,.000,129,2.1,41,0.7,10,11,31,0.1989,0.0979,0.0401
1996,CHI,Robert Parish,43,406,161,3.7,70,143,.490,21,31,.677,0,0,.000,89,2.1,22,0.5,6,19,28,0.1032,0.0517,0.0309
1996,CHI,Dickey Simpkins,48,395,91,1.9,31,93,.333,28,40,.700,1,4,.250,92,1.9,31,0.6,5,5,35,0.1004,0.0391,0.0269
1996,CHI,Jud Buechler,76,703,139,1.8,58,158,.367,5,14,.357,18,54,.333,126,1.7,60,0.8,23,21,27,0.1786,0.064,0.0474
1996,CHI,Matt Steigenga,2,12,3,1.5,1,4,.250,1,2,.500,0,2,.000,3,1.5,2,1.0,1,1,2,0.003,0.0016,0.0014
1996,CLE,Terrell Brandon,78,2868,1519,19.5,575,1313,.438,268,297,.902,101,271,.373,301,3.9,490,6.3,138,30,178,0.7287,0.6889,0.1386
1996,CLE,Chris Mills,80,3167,1072,13.4,405,894,.453,176,209,.842,86,220,.391,497,6.2,198,2.5,86,41,120,0.8046,0.3998,0.1721
1996,CLE,Tyrone Hill,74,2582,955,12.9,357,595,.600,241,381,.633,0,1,.000,736,9.9,92,1.2,63,30,147,0.656,0.3191,0.2205
1996,CLE,Bobby Phills,69,2375,866,12.6,328,766,.428,125,174,.718,85,216,.394,245,3.6,233,3.4,113,21,135,0.6034,0.3507,0.112
1996,CLE,Danny Ferry,82,2633,870,10.6,341,794,.429,74,87,.851,114,284,.401,337,4.1,151,1.8,56,32,94,0.669,0.3023,0.1171
1996,CLE,Bob Sura,82,2269,755,9.2,253,587,.431,196,319,.614,53,164,.323,308,3.8,390,4.8,90,33,181,0.5765,0.4186,0.123
1996,CLE,Vitaly Potapenko,80,1238,465,5.8,186,423,.440,92,125,.736,1,2,.500,217,2.7,40,0.5,26,34,109,0.3145,0.1367,0.0758
1996,CLE,Mark West,70,959,227,3.2,100,180,.556,27,56,.482,0,0,.000,186,2.7,19,0.3,11,55,52,0.2436,0.0622,0.0689
1996,CLE,Donny Marshall,56,548,175,3.1,52,160,.325,38,54,.704,33,87,.379,70,1.3,24,0.4,24,3,32,0.1392,0.0597,0.0279
1996,CLE,Antonio Lang,64,843,171,2.7,68,162,.420,35,48,.729,0,6,.000,127,2.0,33,0.5,33,30,50,0.2142,0.0585,0.0544
1996,CLE,Reggie Geary,39,246,57,1.5,22,58,.379,5,11,.455,8,21,.381,15,0.4,36,0.9,13,2,15,0.0625,0.0325,0.0094
1996,CLE,Shawnelle Scott,16,50,20,1.3,8,16,.500,4,11,.364,0,0,.000,16,1.0,0,0.0,0,3,0,0.0127,0.0061,0.005
1996,CLE,Carl Thomas,19,77,21,1.1,9,24,.375,1,1,1.000,2,12,.167,13,0.7,8,0.4,2,1,6,0.0196,0.0087,0.0044
1996,DAL,Chris Gatling,44,1191,840,19.1,309,580,.533,221,313,.706,1,6,.167,348,7.9,25,0.6,35,31,114,0.3026,0.2549,0.1116
1996,DAL,Predrag Danilovic,13,438,216,16.6,73,174,.420,48,57,.842,22,60,.367,34,2.6,25,1.9,15,1,22,0.1113,0.0758,0.0147
1996,DAL,Michael Finley,56,1994,897,16.0,334,774,.432,142,176,.807,87,225,.387,252,4.5,156,2.8,50,20,120,0.5066,0.3227,0.0894
1996,DAL,Jim Jackson,46,1676,714,15.5,260,588,.442,148,188,.787,46,139,.331,227,4.9,156,3.4,57,15,107,0.4258,0.281,0.0842
1996,DAL,Shawn Bradley,33,1060,482,14.6,207,449,.461,68,106,.642,0,3,.000,286,8.7,32,1.0,17,88,70,0.2693,0.1402,0.1071
1996,DAL,George McCloud,41,1207,563,13.7,204,482,.423,77,92,.837,78,205,.380,143,3.5,92,2.2,52,8,52,0.3067,0.202,0.0587
1996,DAL,Sam Cassell,16,398,197,12.3,70,165,.424,42,50,.840,15,49,.306,50,3.1,57,3.6,17,6,41,0.1011,0.0829,0.0211
1996,DAL,Robert Pack,20,597,229,11.5,79,219,.361,62,73,.849,9,38,.237,60,3.0,127,6.4,35,3,67,0.1517,0.1295,0.0295
1996,DAL,Jamal Mashburn,37,975,394,10.6,140,376,.372,72,111,.649,42,131,.321,115,3.1,93,2.5,35,5,57,0.2477,0.1571,0.0441
1996,DAL,Erick Strickland,28,759,297,10.6,102,256,.398,65,80,.813,28,92,.304,90,3.2,68,2.4,27,5,66,0.1928,0.1141,0.0347
1996,DAL,Derek Harper,75,2210,753,10.0,299,674,.444,95,128,.742,60,176,.341,137,1.8,321,4.3,92,12,132,0.5615,0.3654,0.0737
1996,DAL,Jason Kidd,22,791,217,9.9,75,203,.369,46,69,.667,21,65,.323,90,4.1,200,9.1,45,8,66,0.201,0.1644,0.0426
1996,DAL,A.c. Green,56,1944,444,7.9,173,356,.486,97,149,.651,1,17,.059,518,9.3,52,0.9,52,15,54,0.4939,0.1535,0.1562
1996,DAL,Khalid Reeves,13,384,102,7.8,43,111,.387,9,12,.750,7,35,.200,31,2.4,56,4.3,11,2,26,0.0976,0.0536,0.0127
1996,DAL,Samaki Walker,43,602,214,5.0,83,187,.444,48,74,.649,0,1,.000,147,3.4,17,0.4,15,22,39,0.1529,0.0664,0.05
1996,DAL,Jamie Watson,10,211,45,4.5,20,47,.426,2,4,.500,3,9,.333,29,2.9,23,2.3,11,2,15,0.0536,0.0213,0.0122
1996,DAL,Martin Muursepp,32,321,139,4.3,49,117,.419,38,56,.679,3,20,.150,62,1.9,17,0.5,12,10,15,0.0816,0.0509,0.0235
1996,DAL,Oliver Miller,42,836,180,4.3,76,154,.494,28,53,.528,0,1,.000,233,5.5,58,1.4,34,50,70,0.2124,0.0682,0.088
1996,DAL,Loren Meyer,19,259,78,4.1,34,78,.436,9,12,.750,1,2,.500,49,2.6,7,0.4,6,3,27,0.0658,0.0192,0.0157
1996,DAL,Tony Dumas,18,227,72,4.0,27,77,.351,15,23,.652,3,24,.125,14,0.8,22,1.2,10,1,15,0.0577,0.0309,0.0077
1996,DAL,Eric Montross,47,984,182,3.9,86,187,.460,10,34,.294,0,0,.000,236,5.0,32,0.7,9,34,51,0.25,0.0541,0.0742
1996,DAL,Ed O'bannon,19,174,46,2.4,17,72,.236,11,12,.917,1,10,.100,35,1.8,11,0.6,5,2,6,0.0442,0.0192,0.0114
1996,DAL,Stacey King,6,70,12,2.0,6,15,.400,0,4,.000,0,0,.000,18,3.0,0,0.0,2,0,5,0.0178,0.0018,0.0053
1996,DAL,Greg Dreiling,40,389,80,2.0,34,74,.459,11,27,.407,1,1,1.000,76,1.9,11,0.3,8,7,9,0.0988,0.0271,0.0246
1996,DAL,Fred Roberts,12,40,22,1.8,6,15,.400,10,14,.714,0,0,.000,10,0.8,0,0.0,0,1,5,0.0102,0.0069,0.0029
1996,DAL,Stevin Smith,8,60,14,1.8,6,18,.333,1,1,1.000,1,6,.167,10,1.3,4,0.5,1,0,4,0.0152,0.0051,0.0029
1996,DAL,Jason Sasser,2,7,2,1.0,1,4,.250,0,0,.000,0,1,.000,1,0.5,1,0.5,1,0,0,0.0018,0.0011,0.0006
1996,DEN,Laphonso Ellis,55,2002,1203,21.9,445,1014,.439,218,282,.773,95,259,.367,386,7.0,131,2.4,44,41,117,0.5086,0.4062,0.1278
1996,DEN,Antonio McDyess,74,2565,1352,18.3,536,1157,.463,274,387,.708,6,35,.171,537,7.3,106,1.4,62,126,199,0.6517,0.4232,0.2001
1996,DEN,Dale Ellis,82,2940,1361,16.6,477,1151,.414,215,263,.817,192,528,.364,293,3.6,165,2.0,60,7,146,0.747,0.4577,0.0995
1996,DEN,Bryant Stith,52,1788,774,14.9,251,603,.416,202,234,.863,70,182,.385,217,4.2,133,2.6,60,20,101,0.4543,0.2984,0.0844
1996,DEN,Mark Jackson,52,2001,541,10.4,192,452,.425,109,136,.801,48,121,.397,271,5.2,641,12.3,51,9,172,0.5084,0.4879,0.0911
1996,DEN,Ricky Pierce,33,600,335,10.2,120,260,.462,83,92,.902,12,39,.308,53,1.6,31,0.9,14,5,38,0.1524,0.1142,0.0204
1996,DEN,Kenny Smith,33,654,260,7.9,87,206,.422,35,41,.854,51,120,.425,37,1.1,102,3.1,18,0,62,0.1662,0.1175,0.0163
1996,DEN,Anthony Goldwire,27,612,197,7.3,69,176,.392,31,38,.816,28,71,.394,46,1.7,125,4.6,14,1,35,0.1555,0.1205,0.0173
1996,DEN,Ervin Johnson,82,2599,582,7.1,243,467,.520,96,156,.615,0,2,.000,913,11.1,71,0.9,65,227,118,0.6603,0.1829,0.3288
1996,DEN,Brooks Thompson,65,1047,445,6.8,162,405,.400,24,38,.632,97,244,.398,96,1.5,179,2.8,55,2,86,0.266,0.1996,0.046
1996,DEN,Sarunas Marciulionis,17,255,116,6.8,38,101,.376,29,36,.806,11,30,.367,30,1.8,25,1.5,12,1,40,0.0648,0.041,0.0125
1996,DEN,Tom Hammonds,81,1756,506,6.2,191,398,.480,124,172,.721,0,2,.000,401,5.0,64,0.8,16,24,88,0.4461,0.1743,0.1156
1996,DEN,Vincent Askew,1,9,6,6.0,2,3,.667,2,2,1.000,0,0,.000,0,0.0,0,0.0,0,0,4,0.0023,0.001,0
1996,DEN,Aaron Williams,1,10,6,6.0,3,5,.600,0,0,.000,0,0,.000,5,5.0,0,0.0,0,3,4,0.0025,0.0005,0.0022
1996,DEN,Jeff McInnis,13,117,65,5.0,23,49,.469,7,10,.700,12,26,.462,6,0.5,18,1.4,2,1,13,0.0297,0.0253,0.0026
1996,DEN,Eric Murdock,12,114,45,3.8,15,33,.455,11,12,.917,4,10,.400,11,0.9,24,2.0,9,2,11,0.029,0.0252,0.0069
1996,DEN,George Zidek,16,88,52,3.3,16,33,.485,20,25,.800,0,0,.000,23,1.4,5,0.3,1,0,4,0.0224,0.0202,0.0062
1996,DEN,Jimmy King,2,22,6,3.0,2,6,.333,2,4,.500,0,0,.000,2,1.0,2,1.0,3,0,1,0.0056,0.0029,0.0017
1996,DEN,Elmer Bennett,5,59,12,2.4,4,13,.308,2,4,.500,2,6,.333,3,0.6,7,1.4,2,0,10,0.015,0.005,0.0015
1996,DEN,Darvin Ham,35,313,80,2.3,32,61,.525,16,33,.485,0,0,.000,56,1.6,14,0.4,8,8,21,0.0795,0.0271,0.0198
1996,DEN,Melvin Booker,5,21,5,1.0,2,4,.500,0,0,.000,1,2,.500,1,0.2,3,0.6,0,0,7,0.0053,0.0012,0.0003
1996,DEN,Lasalle Thompson,17,105,7,0.4,3,16,.188,1,2,.500,0,0,.000,26,1.5,0,0.0,3,6,7,0.0267,0.0003,0.0097
1996,DET,Grant Hill,80,3147,1710,21.4,625,1259,.496,450,633,.711,10,33,.303,721,9.0,583,7.3,144,48,259,0.7995,0.8162,0.2533
1996,DET,Joe Dumars,79,2923,1158,14.7,385,875,.440,222,256,.867,166,384,.432,191,2.4,318,4.0,57,1,128,0.7426,0.4999,0.0706
1996,DET,Lindsey Hunter,82,3023,1166,14.2,421,1042,.404,158,203,.778,166,468,.355,233,2.8,154,1.9,129,24,96,0.768,0.4,0.116
1996,DET,Otis Thorpe,79,2661,1036,13.1,419,787,.532,198,303,.653,0,2,.000,622,7.9,133,1.7,59,17,145,0.6761,0.3527,0.1859
1996,DET,Terry Mills,79,1997,857,10.8,312,702,.444,58,70,.829,175,415,.422,377,4.8,99,1.3,35,27,85,0.5074,0.2675,0.1177
1996,DET,Aaron McKie,42,850,263,6.3,97,209,.464,51,61,.836,18,48,.375,128,3.0,77,1.8,43,7,42,0.216,0.1131,0.0511
1996,DET,Theo Ratliff,76,1292,439,5.8,179,337,.531,81,116,.698,0,0,.000,256,3.4,13,0.2,29,111,56,0.3283,0.1253,0.1114
1996,DET,Grant Long,65,1166,326,5.0,123,275,.447,63,84,.750,17,47,.362,222,3.4,39,0.6,43,6,48,0.2962,0.1089,0.0747
1996,DET,Stacey Augmon,20,292,90,4.5,31,77,.403,28,41,.683,0,0,.000,49,2.5,15,0.8,10,10,37,0.0742,0.0292,0.0194
1996,DET,Michael Curry,81,1217,318,3.9,99,221,.448,97,108,.898,23,77,.299,119,1.5,43,0.5,31,12,28,0.3092,0.1229,0.0459
1996,DET,Don Reid,47,462,132,2.8,54,112,.482,24,32,.750,0,1,.000,101,2.1,14,0.3,16,15,23,0.1174,0.0418,0.0365
1996,DET,Kenny Smith,9,64,23,2.6,8,20,.400,2,2,1.000,5,10,.500,5,0.6,10,1.1,1,0,3,0.0163,0.0113,0.0017
1996,DET,Randolph Childress,4,30,10,2.5,4,10,.400,0,0,.000,2,3,.667,1,0.3,2,0.5,2,0,5,0.0076,0.0024,0.001
1996,DET,Rick Mahorn,22,218,56,2.5,20,54,.370,16,22,.727,0,1,.000,53,2.4,6,0.3,4,3,10,0.0554,0.0192,0.0159
1996,DET,Litterial Green,45,311,90,2.0,30,64,.469,30,47,.638,0,10,.000,22,0.5,41,0.9,16,1,15,0.079,0.0501,0.012
1996,DET,Jerome Williams,33,177,49,1.5,20,51,.392,9,17,.529,0,0,.000,50,1.5,7,0.2,13,1,13,0.045,0.0154,0.018
1996,GSW,Latrell Sprewell,80,3353,1938,24.2,649,1444,.449,493,585,.843,147,415,.354,366,4.6,507,6.3,132,45,322,0.8519,0.8257,0.1576
1996,GSW,Joe Smith,80,3087,1493,18.7,587,1293,.454,307,377,.814,12,46,.261,679,8.5,125,1.6,74,86,192,0.7843,0.48,0.228
1996,GSW,Chris Mullin,79,2732,1143,14.5,438,792,.553,184,213,.864,83,202,.411,317,4.0,322,4.1,130,33,192,0.6941,0.4724,0.1406
1996,GSW,Mark Price,70,1877,793,11.3,263,589,.447,155,171,.906,112,283,.396,179,2.6,342,4.9,67,3,161,0.4769,0.3955,0.072
1996,GSW,B.j. Armstrong,49,1020,389,7.9,148,327,.453,68,79,.861,25,90,.278,74,1.5,126,2.6,25,2,53,0.2591,0.1746,0.029
1996,GSW,Melvin Booker,16,409,117,7.3,44,101,.436,18,20,.900,11,35,.314,28,1.8,50,3.1,3,2,20,0.1039,0.0578,0.0089
1996,GSW,Donyell Marshall,61,1021,444,7.3,174,421,.413,61,98,.622,35,111,.315,276,4.5,54,0.9,25,46,55,0.2594,0.1452,0.0943
1996,GSW,Bimbo Coles,51,1183,311,6.1,122,314,.389,37,49,.755,30,102,.294,118,2.3,149,2.9,35,7,59,0.3006,0.1586,0.0455
1996,GSW,Andrew Declercq,71,1065,375,5.3,142,273,.520,91,151,.603,0,0,.000,298,4.2,32,0.5,33,27,76,0.2706,0.1174,0.0969
1996,GSW,Felton Spencer,72,1539,368,5.1,137,282,.486,94,161,.584,0,0,.000,410,5.7,21,0.3,34,50,87,0.391,0.1073,0.133
1996,GSW,Scott Burrell,29,457,143,4.9,53,140,.379,15,23,.652,22,61,.361,79,2.7,35,1.2,14,8,28,0.1161,0.053,0.0279
1996,GSW,Todd Fuller,75,949,304,4.1,114,266,.429,76,110,.691,0,0,.000,249,3.3,24,0.3,10,20,52,0.2411,0.097,0.0734
1996,GSW,Donald Royal,36,509,136,3.8,37,96,.385,62,78,.795,0,2,.000,95,2.6,14,0.4,11,9,22,0.1293,0.0527,0.0312
1996,GSW,Ray Owes,57,592,177,3.1,75,180,.417,26,46,.565,1,5,.200,163,2.9,15,0.3,15,20,23,0.1504,0.0543,0.0535
1996,GSW,Lou Roe,17,107,40,2.4,14,48,.292,9,19,.474,3,11,.273,14,0.8,6,0.4,3,1,11,0.0272,0.0131,0.005
1996,GSW,Clifford Rozier,1,5,0,0.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0,0,0.0013,0,0
1996,HOU,Hakeem Olajuwon,78,2852,1810,23.2,727,1426,.510,351,446,.787,5,16,.313,716,9.2,236,3.0,117,173,281,0.7246,0.6126,0.2814
1996,HOU,Charles Barkley,53,2009,1016,19.2,335,692,.484,288,415,.694,58,205,.283,716,13.5,248,4.7,69,25,151,0.5104,0.4347,0.2161
1996,HOU,Clyde Drexler,62,2271,1114,18.0,397,899,.442,201,268,.750,119,335,.355,373,6.0,354,5.7,119,36,156,0.577,0.4968,0.1516
1996,HOU,Mario Elie,78,2687,909,11.7,291,585,.497,207,231,.896,120,286,.420,235,3.0,310,4.0,92,12,135,0.6827,0.4265,0.0986
1996,HOU,Eddie A. Johnson,24,607,277,11.5,101,226,.447,35,41,.854,40,103,.388,98,4.1,35,1.5,10,1,30,0.1542,0.0916,0.029
1996,HOU,Kevin Willis,75,1964,842,11.2,350,728,.481,140,202,.693,2,14,.143,561,7.5,71,0.9,42,32,119,0.499,0.2599,0.1687
1996,HOU,Matt Maloney,82,2386,767,9.4,271,615,.441,71,93,.763,154,381,.404,160,2.0,303,3.7,82,1,122,0.6062,0.3551,0.0722
1996,HOU,Sam Mack,52,904,292,5.6,105,262,.401,35,42,.833,47,142,.331,106,2.0,58,1.1,29,6,42,0.2297,0.1056,0.0399
1996,HOU,Brent Price,25,390,126,5.0,44,105,.419,21,21,1.000,17,53,.321,29,1.2,65,2.6,17,0,32,0.0991,0.0664,0.0138
1996,HOU,Emanual Davis,13,230,65,5.0,24,54,.444,5,8,.625,12,27,.444,22,1.7,26,2.0,9,2,17,0.0584,0.0283,0.0096
1996,HOU,Othella Harrington,57,860,273,4.8,112,204,.549,49,81,.605,0,3,.000,198,3.5,18,0.3,12,22,57,0.2185,0.0776,0.0619
1996,HOU,Matt Bullard,71,1025,320,4.5,114,284,.401,25,34,.735,67,183,.366,117,1.6,67,0.9,21,18,38,0.2604,0.1163,0.0434
1996,HOU,Randy Livingston,64,981,251,3.9,100,229,.437,42,65,.646,9,22,.409,94,1.5,155,2.4,39,12,102,0.2492,0.1371,0.0425
1996,HOU,Tracy Moore,27,237,99,3.7,33,85,.388,22,31,.710,11,43,.256,26,1.0,20,0.7,5,0,14,0.0602,0.0386,0.0085
1996,HOU,Sedale Threatt,21,334,70,3.3,28,74,.378,6,8,.750,8,20,.400,24,1.1,40,1.9,15,3,13,0.0849,0.0389,0.0128
1996,HOU,Elmer Bennett,4,16,10,2.5,2,6,.333,5,6,.833,1,3,.333,1,0.3,4,1.0,2,0,0,0.0041,0.0062,0.001
1996,HOU,Joe Stephens,2,9,3,1.5,1,5,.200,0,0,.000,1,3,.333,3,1.5,0,0.0,3,0,3,0.0023,0,0.0019
1996,HOU,Charles Jones,12,93,4,0.3,2,5,.400,0,0,.000,0,0,.000,13,1.1,3,0.3,2,4,0,0.0236,0.0027,0.0053
1996,IND,Reggie Miller,81,2968,1751,21.6,552,1244,.444,418,475,.880,229,536,.427,286,3.5,273,3.4,75,25,166,0.7541,0.665,0.1092
1996,IND,Rik Smits,52,1518,887,17.1,356,733,.486,173,217,.797,2,8,.250,361,6.9,67,1.3,22,59,126,0.3857,0.2756,0.1188
1996,IND,Antonio Davis,82,2335,858,10.5,308,641,.480,241,362,.666,1,14,.071,598,7.3,65,0.8,42,84,141,0.5932,0.2805,0.1946
1996,IND,Dale Davis,80,2589,832,10.4,370,688,.538,92,215,.428,0,0,.000,772,9.7,59,0.7,60,77,108,0.6578,0.2411,0.2435
1996,IND,Travis Best,76,2064,754,9.9,274,620,.442,149,197,.756,57,155,.368,166,2.2,318,4.2,98,5,153,0.5244,0.3723,0.0811
1996,IND,Mark Jackson,30,1053,271,9.0,97,227,.427,59,77,.766,18,57,.316,124,4.1,294,9.8,46,3,102,0.2675,0.226,0.05
1996,IND,Derrick McKey,50,1449,400,8.0,148,379,.391,89,123,.724,15,58,.259,241,4.8,135,2.7,47,30,83,0.3681,0.1803,0.0887
1996,IND,Jalen Rose,66,1188,482,7.3,172,377,.456,117,156,.750,21,72,.292,121,1.8,155,2.3,57,18,107,0.3018,0.2136,0.0582
1996,IND,Duane Ferrell,62,1113,394,6.4,159,337,.472,58,94,.617,18,44,.409,141,2.3,66,1.1,38,6,55,0.2828,0.1386,0.0522
1996,IND,Vincent Askew,41,822,233,5.7,79,183,.432,68,86,.791,7,24,.292,98,2.4,90,2.2,17,6,42,0.2088,0.1172,0.0333
1996,IND,Haywoode Workman,4,81,22,5.5,11,20,.550,0,1,.000,0,3,.000,7,1.8,11,2.8,3,0,5,0.0206,0.0106,0.0029
1996,IND,Eddie A. Johnson,28,306,147,5.3,59,136,.434,20,27,.741,9,28,.321,40,1.4,17,0.6,5,1,17,0.0777,0.0478,0.0124
1996,IND,Erick Dampier,72,1052,370,5.1,131,336,.390,107,168,.637,1,1,1.000,294,4.1,43,0.6,19,73,84,0.2673,0.1244,0.1051
1996,IND,Fred Hoiberg,47,572,224,4.8,67,156,.429,61,77,.792,29,70,.414,81,1.7,41,0.9,27,6,22,0.1453,0.0902,0.0328
1996,IND,Darvin Ham,1,5,3,3.0,1,1,1.000,1,2,.500,0,0,.000,0,0.0,0,0.0,1,0,1,0.0013,0.0008,0.0004
1996,IND,Reggie Williams,2,33,5,2.5,2,9,.222,1,2,.500,0,1,.000,7,3.5,2,1.0,0,0,2,0.0084,0.0022,0.0018
1996,IND,Brent Scott,16,55,19,1.2,8,17,.471,3,6,.500,0,0,.000,9,0.6,3,0.2,1,1,4,0.014,0.0063,0.003
1996,IND,Lasalle Thompson,9,35,3,0.3,0,3,.000,3,4,.750,0,0,.000,8,0.9,2,0.2,0,0,2,0.0089,0.0022,0.002
1996,LAC,Loy Vaught,82,2838,1220,14.9,542,1084,.500,134,191,.702,2,12,.167,817,10.0,110,1.3,85,25,137,0.721,0.3721,0.2479
1996,LAC,Malik Sealy,80,2456,1079,13.5,373,942,.396,254,290,.876,79,222,.356,238,3.0,165,2.1,124,45,154,0.624,0.3939,0.122
1996,LAC,Rodney Rogers,81,2480,1072,13.2,408,884,.462,191,288,.663,65,180,.361,411,5.1,222,2.7,88,61,221,0.6301,0.3917,0.1573
1996,LAC,Darrick Martin,82,1820,893,10.9,292,718,.407,218,250,.872,91,234,.389,113,1.4,339,4.1,57,2,127,0.4624,0.4438,0.0511
1996,LAC,Stanley Roberts,18,378,171,9.5,63,148,.426,45,64,.703,0,0,.000,91,5.1,9,0.5,8,23,23,0.096,0.0542,0.0335
1996,LAC,Bo Outlaw,82,2195,625,7.6,254,417,.609,117,232,.504,0,8,.000,454,5.5,157,1.9,94,142,107,0.5577,0.2511,0.1963
1996,LAC,Brent Barry,59,1094,442,7.5,155,379,.409,76,93,.817,56,173,.324,110,1.9,154,2.6,51,15,76,0.2779,0.2003,0.0521
1996,LAC,Lamond Murray,74,1295,549,7.4,181,435,.416,156,211,.739,31,91,.341,233,3.1,57,0.8,53,29,86,0.329,0.1898,0.0886
1996,LAC,Lorenzen Wright,77,1936,561,7.3,236,491,.481,88,150,.587,1,4,.250,471,6.1,49,0.6,48,60,79,0.4919,0.1728,0.157
1996,LAC,Terry Dehere,73,1053,470,6.4,148,383,.386,122,148,.824,52,160,.325,95,1.3,158,2.2,27,3,96,0.2675,0.2163,0.0354
1996,LAC,Eric Piatkowski,65,747,388,6.0,134,298,.450,69,84,.821,51,120,.425,105,1.6,52,0.8,33,10,46,0.1898,0.1342,0.0424
1996,LAC,Pooh Richardson,59,1065,330,5.6,131,344,.381,26,43,.605,42,128,.328,98,1.7,169,2.9,54,5,62,0.2706,0.1713,0.0471
1996,LAC,Kevin Duckworth,26,384,104,4.0,45,103,.437,11,16,.688,3,4,.750,60,2.3,16,0.6,9,11,33,0.0976,0.03,0.0222
1996,LAC,Rich Manning,10,73,31,3.1,14,34,.412,3,6,.500,0,1,.000,16,1.6,1,0.1,1,1,2,0.0185,0.0087,0.0048
1996,LAC,Duane Schintzius,15,116,34,2.3,13,36,.361,7,8,.875,1,2,.500,22,1.5,4,0.3,1,9,7,0.0295,0.0109,0.0088
1996,LAL,Shaquille O'neal,51,1941,1336,26.2,552,991,.557,232,479,.484,0,4,.000,640,12.5,159,3.1,46,147,146,0.4931,0.4521,0.2268
1996,LAL,Eddie Jones,80,2998,1374,17.2,473,1081,.438,276,337,.819,152,389,.391,326,4.1,270,3.4,189,49,169,0.7617,0.5306,0.1704
1996,LAL,Nick Van Exel,79,2937,1206,15.3,432,1075,.402,165,200,.825,177,461,.384,226,2.9,672,8.5,75,10,212,0.7462,0.6786,0.0892
1996,LAL,Elden Campbell,77,2516,1148,14.9,442,942,.469,263,370,.711,1,4,.250,615,8.0,126,1.6,46,117,130,0.6392,0.3975,0.2109
1996,LAL,Cedric Ceballos,8,279,86,10.8,34,83,.410,13,15,.867,5,21,.238,53,6.6,15,1.9,5,6,17,0.0709,0.0294,0.0173
1996,LAL,Robert Horry,22,676,203,9.2,75,165,.455,28,40,.700,25,76,.329,118,5.4,56,2.5,38,29,26,0.1717,0.0841,0.0537
1996,LAL,Kobe Bryant,71,1103,539,7.6,176,422,.417,136,166,.819,51,136,.375,132,1.9,91,1.3,49,23,112,0.2802,0.195,0.0595
1996,LAL,Jerome Kersey,70,1766,476,6.8,194,449,.432,71,118,.602,17,65,.262,363,5.2,89,1.3,119,49,74,0.4487,0.1711,0.1531
1996,LAL,Byron Scott,79,1440,526,6.7,163,379,.430,127,151,.841,73,188,.388,118,1.5,99,1.3,46,16,53,0.3659,0.2091,0.0526
